site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error
10056,44.8,-88.2,GIC,measured,NERC,
10075,41.7,-87.5,GIC,measured,NERC,
10094,41.9,-72.5,GIC,measured,NERC,
10222,40.2,-75.3,GIC,measured,NERC,
10224,40.2,-75.3,GIC,measured,NERC,
10299,46.6,-87.4,GIC,measured,NERC,
10300,46.6,-87.4,GIC,measured,NERC,
10301,44,-88.6,GIC,measured,NERC,
10318,44.4,-88.7,GIC,measured,NERC,
10319,43.7,-87.7,GIC,measured,NERC,
10320,43.7,-87.7,GIC,measured,NERC,
10321,43.1,-88,GIC,measured,NERC,
10322,43.3,-89.4,GIC,measured,NERC,
10323,34.6,-117.3,GIC,measured,NERC,
10397,39.1,-78.3,GIC,measured,NERC,
10398,41.1,-74.2,GIC,measured,NERC,
10077,42.3,-87.9,GIC,measured,NERC,
10112,47.7,-117.4,GIC,measured,NERC,
10115,47.6,-114.6,GIC,measured,NERC,
10116,47.9,-121.9,GIC,measured,NERC,
10119,47.5,-120.3,GIC,measured,NERC,
10121,46.9,-119.9,GIC,measured,NERC,
10257,47.4,-101.2,GIC,measured,NERC,
10258,47.4,-101.2,GIC,measured,NERC,
10259,47.4,-101.2,GIC,measured,NERC,
10260,47.4,-101.2,GIC,measured,NERC,
10261,45.1,-93.8,GIC,measured,NERC,
10262,45.1,-93.8,GIC,measured,NERC,
10263,45.1,-93.8,GIC,measured,NERC,
10264,45.1,-93.8,GIC,measured,NERC,
10331,32.2,-86.3,GIC,measured,NERC,
10360,40.2,-75.3,GIC,measured,NERC,
10361,40.2,-75.3,GIC,measured,NERC,
10362,39.8,-76.3,GIC,measured,NERC,
10363,40.2,-75.6,GIC,measured,NERC,
10364,40.2,-75.6,GIC,measured,NERC,
10399,39.1,-78.3,GIC,measured,NERC,
10400,39.1,-78.3,GIC,measured,NERC,
10401,39.1,-78.3,GIC,measured,NERC,
10402,39.5,-78.9,GIC,measured,NERC,
10403,39.5,-78.9,GIC,measured,NERC,
10404,39.5,-77.9,GIC,measured,NERC,
10405,39.5,-77.9,GIC,measured,NERC,
10406,39.5,-77.9,GIC,measured,NERC,
10407,39.5,-77.9,GIC,measured,NERC,
10408,39.7,-80,GIC,measured,NERC,
10409,39.3,-77.5,GIC,measured,NERC,
10410,39.3,-77.5,GIC,measured,NERC,
10411,39.3,-77.5,GIC,measured,NERC,
10412,39.3,-77.5,GIC,measured,NERC,
10413,39.3,-77.5,GIC,measured,NERC,
10425,36.8,-78.7,GIC,measured,NERC,
10437,39.6,-75.6,GIC,measured,NERC,
10180,41.7,-73.8,GIC,measured,NERC,
10181,41.9,-74,GIC,measured,NERC,
10183,41.1,-76.7,GIC,measured,NERC,
10184,39,-78.2,GIC,measured,NERC,
10185,39.3,-81.3,GIC,measured,NERC,
10187,41,-81.6,GIC,measured,NERC,
10193,41.6,-71.4,GIC,measured,NERC,
10197,36.4,-82.2,GIC,measured,NERC,
10198,37.2,-86.9,GIC,measured,NERC,
10199,35,-84.9,GIC,measured,NERC,
10202,34.9,-90,GIC,measured,NERC,
10213,30.5,-97.5,GIC,measured,NERC,
10214,32.6,-97.2,GIC,measured,NERC,
10215,40.6,-74.1,GIC,measured,NERC,
10216,40.9,-73.8,GIC,measured,NERC,
10218,42.6,-96.3,GIC,measured,NERC,
10326,29.4,-94.9,GIC,measured,NERC,
10376,40.9,-73.9,GIC,measured,NERC,
10377,40.7,-74,GIC,measured,NERC,
10378,40.7,-74,GIC,measured,NERC,
10379,40.7,-74,GIC,measured,NERC,
10380,41.1,-73.8,GIC,measured,NERC,
10382,40.6,-74.2,GIC,measured,NERC,
10384,40.7,-74,GIC,measured,NERC,
10388,41,-73.9,GIC,measured,NERC,
10431,39.6,-75.7,GIC,measured,NERC,
10432,38.5,-76.6,GIC,measured,NERC,
10433,38.5,-76.6,GIC,measured,NERC,
10434,39.5,-75.1,GIC,measured,NERC,
10435,39.4,-74.6,GIC,measured,NERC,
10436,39.4,-74.6,GIC,measured,NERC,
50100,30.4,-89.6,B,measured,NERC,
50112,48.3,-117.1,B,measured,NERC,
